REF_DATE,GEO,DGUID,Classification_of_Instructional_Program_(CIP),Population_characteristics,Employment,Role,avg_hours_class_teaching,avg_hours_other_teaching,avg_hours_research,avg_hours_administrative,avg_hours_total
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Female gender [F],More than one job or business,"University professor, instructor, teacher, or researcher",5.2,8,5.6,3.5,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Female gender [F],Only job,"College professor, instructor, teacher, or researcher",12.6,14.1,3,6.2,36
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Female gender [F],Only job,"Contract, college professor, instructor, teacher, or researcher",12.7,12.6,2.7,3.1,31
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Female gender [F],Only job,"Contract, university professor, instructor, teacher, or researcher",5.4,8.8,15.4,3.3,33
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Female gender [F],Only job,"Permanent, college professor, instructor, teacher, or researcher",12.5,14.6,3.1,7.3,37
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Female gender [F],Only job,"Permanent, university professor, instructor, teacher, or researcher",6.8,13,14.2,11.1,45
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Female gender [F],Only job,"Role, total",8.4,12.4,10.8,7.8,39
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Female gender [F],Only job,"University professor, instructor, teacher, or researcher",6.3,11.6,14.6,8.5,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],More than one job or business,"College professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],More than one job or business,"Role, total",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],More than one job or business,"University professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],Only job,"College professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],Only job,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],Only job,"Contract, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],Only job,"Permanent, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],Only job,"Permanent, university professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],Only job,"Role, total",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Gender diverse [D],Only job,"University professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",More than one job or business,"College professor, instructor, teacher, or researcher",9.8,9.5,1.9,3.9,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",More than one job or business,"Contract, college professor, instructor, teacher, or researcher",8.7,7.6,2.1,1.7,38
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.9,7.1,6.3,2.1,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",10.7,11,1.7,5.4,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",5.9,10,7.1,6.8,45
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",More than one job or business,"Role, total",7,8.9,4.9,4.2,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",More than one job or business,"University professor, instructor, teacher, or researcher",5.4,8.5,6.7,4.4,43
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",Only job,"College professor, instructor, teacher, or researcher",13.6,12.9,3.3,5.4,35
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",Only job,"Contract, college professor, instructor, teacher, or researcher",13.1,12.2,2.8,2.9,31
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",Only job,"Contract, university professor, instructor, teacher, or researcher",5.1,9,16.1,3.7,34
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",Only job,"Permanent, college professor, instructor, teacher, or researcher",13.7,13.1,3.5,6,36
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",Only job,"Permanent, university professor, instructor, teacher, or researcher",7.2,12.7,15.7,9.9,45
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",Only job,"Role, total",8.9,12.1,11.7,7.3,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Gender, total",Only job,"University professor, instructor, teacher, or researcher",6.6,11.7,15.8,8.2,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,More than one job or business,"College professor, instructor, teacher, or researcher",13.4,7.4,2.4,4.1,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,More than one job or business,"Contract, college professor, instructor, teacher, or researcher",15.8,6.3,0.6,0.4,33
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.2,6.8,6.3,1.8,38
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",10.8,8.5,4.3,8.1,47
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",6.1,9,5.9,6.6,46
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,More than one job or business,"Role, total",7.1,7.8,5.2,4.2,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,More than one job or business,"University professor, instructor, teacher, or researcher",5.1,7.9,6.1,4.2,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,Only job,"College professor, instructor, teacher, or researcher",13.9,14.3,2.5,5,36
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,Only job,"Contract, college professor, instructor, teacher, or researcher",13,15.6,5.8,3.7,38
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,Only job,"Contract, university professor, instructor, teacher, or researcher",5.1,11.4,18.3,3.6,38
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,Only job,"Permanent, college professor, instructor, teacher, or researcher",14,14.1,2,5.2,35
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,Only job,"Permanent, university professor, instructor, teacher, or researcher",8.9,14.5,17.6,11.2,52
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,Only job,"Role, total",10.3,13.9,11.4,7.3,43
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has a self-reported disability,Only job,"University professor, instructor, teacher, or researcher",7.8,13.6,17.8,9,48
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,More than one job or business,"College professor, instructor, teacher, or researcher",9.6,9.6,1.8,3.9,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,More than one job or business,"Contract, college professor, instructor, teacher, or researcher",8.3,7.7,2.2,1.8,38
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,More than one job or business,"Contract, university professor, instructor, teacher, or researcher",5,7.1,6.4,2.1,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",10.7,11.1,1.6,5.3,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",5.9,10,7.2,6.8,45
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,More than one job or business,"Role, total",7,8.9,4.9,4.2,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,More than one job or business,"University professor, instructor, teacher, or researcher",5.4,8.6,6.8,4.4,43
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,Only job,"College professor, instructor, teacher, or researcher",13.5,12.8,3.4,5.4,35
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,Only job,"Contract, college professor, instructor, teacher, or researcher",13.1,12,2.7,2.9,31
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,Only job,"Contract, university professor, instructor, teacher, or researcher",5.1,8.8,15.9,3.8,34
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,Only job,"Permanent, college professor, instructor, teacher, or researcher",13.6,13,3.6,6.1,36
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,Only job,"Permanent, university professor, instructor, teacher, or researcher",7.1,12.5,15.6,9.8,45
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,Only job,"Role, total",8.8,11.9,11.7,7.2,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Has no self-reported disability,Only job,"University professor, instructor, teacher, or researcher",6.5,11.5,15.7,8.1,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],More than one job or business,"College professor, instructor, teacher, or researcher",5.9,8.1,3.4,7.3,36
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",2.4,0.9,13.4,5.2,47
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",7.3,10.8,2,10.4,38
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",6.6,11.3,5.2,6.1,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],More than one job or business,"Role, total",5,6.8,7.4,6.2,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],More than one job or business,"University professor, instructor, teacher, or researcher",4.6,6.2,9.2,5.7,43
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],Only job,"College professor, instructor, teacher, or researcher",10.2,13.5,1.5,4.8,30
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],Only job,"Contract, college professor, instructor, teacher, or researcher",-Inf,-Inf,-Inf,-Inf,-Inf
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],Only job,"Contract, university professor, instructor, teacher, or researcher",5.9,7,3.6,1.1,17.6
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],Only job,"Permanent, college professor, instructor, teacher, or researcher",10.4,13,1.6,4.9,30
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],Only job,"Permanent, university professor, instructor, teacher, or researcher",4.3,8.4,8.7,23,44
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],Only job,"Role, total",6.6,9.5,4.9,10.3,31
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Indigenous identity [1],Only job,"University professor, instructor, teacher, or researcher",5,7.8,6.4,12.7,32
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",More than one job or business,"College professor, instructor, teacher, or researcher",9.8,9.5,1.9,3.9,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",More than one job or business,"Contract, college professor, instructor, teacher, or researcher",8.7,7.6,2.1,1.7,38
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.9,7.1,6.3,2.1,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",10.7,11,1.7,5.4,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",5.9,10,7.1,6.8,45
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",More than one job or business,"Role, total",7,8.9,4.9,4.2,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",More than one job or business,"University professor, instructor, teacher, or researcher",5.4,8.5,6.7,4.4,43
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",Only job,"College professor, instructor, teacher, or researcher",13.6,12.9,3.3,5.4,35
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",Only job,"Contract, college professor, instructor, teacher, or researcher",13.1,12.2,2.8,2.9,31
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",Only job,"Contract, university professor, instructor, teacher, or researcher",5.1,9,16.1,3.7,34
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",Only job,"Permanent, college professor, instructor, teacher, or researcher",13.7,13.1,3.5,6,36
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",Only job,"Permanent, university professor, instructor, teacher, or researcher",7.2,12.7,15.7,9.9,45
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",Only job,"Role, total",8.9,12.1,11.7,7.3,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Indigenous identity, total",Only job,"University professor, instructor, teacher, or researcher",6.6,11.7,15.8,8.2,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],More than one job or business,"College professor, instructor, teacher, or researcher",10.7,7.9,2.2,3.9,38
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",8.8,5.1,3.2,2.5,35
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",5.3,7.5,6.8,2,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",12.1,9.9,1.6,4.9,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",6,10.5,8.9,8.2,46
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],More than one job or business,"Role, total",7.5,8.6,5.8,4.7,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],More than one job or business,"University professor, instructor, teacher, or researcher",5.7,9.1,7.9,5.1,44
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],Only job,"College professor, instructor, teacher, or researcher",14.6,11.6,3.7,4.5,34
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],Only job,"Contract, college professor, instructor, teacher, or researcher",14,11.4,3.1,2.7,31
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],Only job,"Contract, university professor, instructor, teacher, or researcher",4.6,9.3,17.3,4.4,36
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],Only job,"Permanent, college professor, instructor, teacher, or researcher",14.8,11.7,3.8,4.8,35
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],Only job,"Permanent, university professor, instructor, teacher, or researcher",7.5,12.3,17.2,8.7,46
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],Only job,"Role, total",9.5,11.6,12.7,6.7,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Male gender [M],Only job,"University professor, instructor, teacher, or researcher",6.9,11.7,17.2,7.8,44
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],More than one job or business,"College professor, instructor, teacher, or researcher",9.9,9.5,1.8,3.7,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",8.9,7.8,2,1.8,38
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",5,7.4,6,1.9,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",10.8,11,1.7,5.2,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",5.9,9.9,7.2,6.8,45
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],More than one job or business,"Role, total",7.1,9,4.8,4.1,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],More than one job or business,"University professor, instructor, teacher, or researcher",5.4,8.6,6.6,4.3,43
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],Only job,"College professor, instructor, teacher, or researcher",13.6,12.9,3.4,5.4,35
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],Only job,"Contract, college professor, instructor, teacher, or researcher",13.1,12.2,2.8,2.9,31
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],Only job,"Contract, university professor, instructor, teacher, or researcher",5.1,9.1,16.7,3.9,35
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],Only job,"Permanent, college professor, instructor, teacher, or researcher",13.8,13.1,3.5,6,36
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],Only job,"Permanent, university professor, instructor, teacher, or researcher",7.3,12.8,15.9,9.6,45
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],Only job,"Role, total",9,12.1,11.9,7.2,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Non-Indigenous identity [2],Only job,"University professor, instructor, teacher, or researcher",6.7,11.8,16.1,8.1,43
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],More than one job or business,"College professor, instructor, teacher, or researcher",9.2,8.7,1.8,3.9,39
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],More than one job or business,"Contract, college professor, instructor, teacher, or researcher",8,6.2,2.5,1.9,37
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],More than one job or business,"Contract, university professor, instructor, teacher, or researcher",4.9,7.2,6.2,2.1,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],More than one job or business,"Permanent, college professor, instructor, teacher, or researcher",10.1,10.7,1.4,5.3,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],More than one job or business,"Permanent, university professor, instructor, teacher, or researcher",6.3,10.3,6.7,7.1,44
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],More than one job or business,"Role, total",6.9,8.7,4.7,4.3,41
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],More than one job or business,"University professor, instructor, teacher, or researcher",5.6,8.7,6.4,4.5,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],Only job,"College professor, instructor, teacher, or researcher",13.5,12.5,3.1,5.6,35
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],Only job,"Contract, college professor, instructor, teacher, or researcher",13.6,11.5,2.1,2.4,30
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],Only job,"Contract, university professor, instructor, teacher, or researcher",5.7,9.3,13.3,4.3,33
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],Only job,"Permanent, college professor, instructor, teacher, or researcher",13.4,12.7,3.3,6.3,36
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],Only job,"Permanent, university professor, instructor, teacher, or researcher",7.3,13.4,15.1,10,46
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],Only job,"Role, total",9.3,12.4,10.5,7.4,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total",Not a visible minority [2],Only job,"University professor, instructor, teacher, or researcher",6.9,12.3,14.7,8.5,42
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Self-reported disability, total",More than one job or business,"College professor, instructor, teacher, or researcher",9.8,9.5,1.9,3.9,40
2019,British Columbia,2016A000259,"STEM and BHASE groupings - Classification of Instructional Programs (CIP) 2016, total","Self-reported disability, total",More than one job or business,"Contract, college professor, instructor, teacher, or researcher",8.7,7.6,2.1,1.7,38
